name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Yanja Dajsuren,Yanja Dajsuren,1,3,0.0,0.0,0.0,0.0,0
Nenad Medvidovic,Nenad Medvidovic,1,3,0.0,0.0,0.0,0.0,0
Maria Spichkova,Maria Spichkova,1,2,0.0,0.0,0.0,0.0,0
Laurin Stricker,Laurin Stricker,1,1,0.0,0.0,0.0,0.0,0
Peter Sanders 0001,Peter Sanders 0001,1,1,0.0,0.0,0.0,0.0,0
Leif Bonorden,Leif Bonorden,1,1,0.0,0.0,0.0,0.0,0
Apitchaka Singjai,Apitchaka Singjai,1,2,0.0,0.0,0.0,0.0,0
Matthias Riebisch,Matthias Riebisch,2,5,0.0,0.0,1.0,0.12719047139481465,0
Filip Krikava,Filip Krikava,1,2,0.0,0.0,0.0,0.0,0
Palak Sharma,Palak Sharma,1,1,0.0,0.0,0.0,0.0,0
Thomas Heyman,Thomas Heyman,2,2,0.0,0.0,1.0,0.1306297048733754,1
Edi Sutoyo,Edi Sutoyo,1,1,0.0,0.0,0.0,0.0,0
Dennis Tschechlov,Dennis Tschechlov,1,1,0.0,0.0,0.0,0.0,0
Jose Carrasco 0001,Jose Carrasco 0001,2,2,0.0,0.0,1.0,0.10095114404622998,0
Moamin Abughazala,Moamin Abughazala,5,22,0.0,0.0,0.6,0.1671553253398429,0
Jana Tumova,Jana Tumova,1,1,0.0,0.0,0.0,0.0,0
Danielle Gonzalez,Danielle Gonzalez,1,1,0.0,0.0,0.0,0.0,0
Stefan Fischer 0006,Stefan Fischer 0006,1,2,0.0,0.0,0.0,0.0,0
Mónica M. Villegas,Mónica M. Villegas,1,4,0.0,0.0,0.0,0.0,0
Pablo Cruz,Pablo Cruz,1,3,0.0,0.0,0.0,0.0,0
Tony Gorschek,Tony Gorschek,1,1,0.0,0.0,0.0,0.0,0
Iffat Fatima,Iffat Fatima,1,1,0.0,0.0,0.0,0.0,0
Lorenz Graf-Vlachy,Lorenz Graf-Vlachy,1,1,0.0,0.0,0.0,0.0,0
Aurora Macías,Aurora Macías,1,1,0.0,0.0,0.0,0.0,0
Sebastian Geiger,Sebastian Geiger,2,4,0.0,0.0,1.0,0.16024995225637872,0
Carlos E. Cuesta,Carlos E. Cuesta,2,4,0.0,0.0,1.0,0.1111111111111111,0
Zbynek Jirácek,Zbynek Jirácek,4,6,0.0,0.0,1.0,0.1350103700988016,0
Pavel Nedvedický,Pavel Nedvedický,2,2,0.0,0.0,1.0,0.06999561388304851,0
