name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,connected_component
Sasa Misailovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1333,29,31,0.004366150672023557,0.004788500510466388,0
Javier Cámara 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:172,40,63,0.0018433963151369864,0.004776562960543385,0
Pooyan Jamshidi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2040,39,49,0.003253809056208146,0.004727303222201324,0
Andrzej Wasowski,4:a207e2fc-2358-4733-aaec-376a2c17a19b:350,28,31,0.0016090187040813378,0.004658301529340078,0
Justus Bogner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1989,35,61,0.01134704748476338,0.0046212524502809915,0
Shin Hwei Tan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2572,42,51,0.0032250782093217784,0.004582344618874951,0
Na Meng 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2514,35,39,0.0030325577899903916,0.004516914284465727,0
Michael Pradel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:50,48,56,0.0025081497319860593,0.004483399199100456,0
Xiaoxing Ma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:58,28,61,0.005021991048926503,0.004472639950757908,0
Sebastian Baltes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3184,16,18,0.00443998534362095,0.004416908857026069,0
Xiaofei Xie,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1661,64,97,0.015254199804892628,0.004400428500023187,0
Stephan Krusche,4:a207e2fc-2358-4733-aaec-376a2c17a19b:201,45,53,0.00557370908260703,0.004373376585138295,0
Fuyuki Ishikawa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7272,31,34,0.0017850015994789663,0.004353861931423515,0
Myra B. Cohen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:231,29,29,0.002197799834410958,0.0043253592417535555,0
Jennifer Horkoff,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2664,24,24,0.0009553146442786871,0.004302100939243455,0
Ludovico Iovino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7734,28,42,0.002620649560068754,0.004271559842827288,0
Davide Di Ruscio,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2201,25,31,0.0024239733134890757,0.0042706473107903195,0
Yue Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2103,44,51,0.002545016603725168,0.004207729421197604,0
Baowen Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1344,54,90,0.014123303692483862,0.004190909652812293,0
Guenther Ruhe,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3892,29,36,0.002818800134042912,0.004171746008203798,0
Nachiappan Nagappan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1817,31,34,0.002387246691090879,0.0041654159516932784,0
Zhenchang Xing,4:a207e2fc-2358-4733-aaec-376a2c17a19b:710,54,130,0.03170739663252045,0.004122114914685816,0
Shuvendu K. Lahiri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3006,38,51,0.0047567725245155085,0.00411393138089142,0
Andy Zaidman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:41,35,49,0.004601637454900783,0.0041103868930063014,0
Cesare Pautasso,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1863,20,25,0.0024422562949240403,0.00406189424919022,0
Simos Gerasimou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1293,25,36,0.004054379486158918,0.0040604593293454465,0
Anne Koziolek,4:a207e2fc-2358-4733-aaec-376a2c17a19b:70,64,133,0.007239997760205311,0.004056149429345041,0
Axel Legay,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2326,25,35,0.0038595071132083367,0.004050261467319862,0
Yepang Liu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3488,50,70,0.004356818552263142,0.004038679004259728,0
Miryung Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2125,32,47,0.006372346765850495,0.004033319882607584,0
Eric Bodden,4:a207e2fc-2358-4733-aaec-376a2c17a19b:291,37,47,0.0032058060919421187,0.003994755574587853,0
Robert Feldt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2590,19,28,0.0030343239129400376,0.003963787000784748,0
Weiyi Shang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1619,31,46,0.0020078388802618717,0.003952726312719884,0
Yiling Lou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2887,46,53,0.0020370104405115375,0.0038940133869801437,0
Lin Tan 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:119,40,56,0.00494639239701935,0.003855027612986411,0
Henry Muccini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1756,33,78,0.005463676860041071,0.0038477767561226283,0
Antonia Bertolino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1217,24,44,0.0032919614461193823,0.0038294997950680024,0
Michael R. Lyu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1015,73,138,0.005762224989397192,0.003822046253924464,0
Dongmei Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:809,72,136,0.004604892950059366,0.0037971790148801947,0
Rodrigo Pereira dos Santos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:127,33,44,0.002346830539706706,0.0037946997045719246,0
Stefen Becker,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4421,40,61,0.004180186920978773,0.0037898594533124588,0
Luciano Baresi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2853,24,28,0.0030562448213573086,0.003785926842610353,0
Eduardo Santana de Almeida,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1528,34,48,0.0031920966203079276,0.0037765682509160628,0
Hridesh Rajan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:584,36,68,0.004831725584223642,0.0037718481176458444,0
Neha Rungta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7523,45,46,0.003532949426145492,0.0037672783088307047,0
Emerson R. Murphy-Hill,4:a207e2fc-2358-4733-aaec-376a2c17a19b:309,47,70,0.004922475494330539,0.0037573204458837585,0
Xiwei Xu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:712,47,119,0.006350696059414384,0.003757068726460558,0
Wei Le,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1318,30,38,0.002934530557926418,0.0037418707866163498,0
Antony Tang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3424,18,21,0.0015397207538025018,0.003735386306502495,0
Paul Ralph,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2178,24,30,0.002541992193909097,0.0037303959711116417,0
Corina S. Pasareanu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5491,22,31,0.0024285563055452025,0.00367073071149981,0
Robert Heinrich,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4416,62,128,0.009573691016358197,0.0036688332660763517,0
Earl T. Barr,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3676,24,29,0.0036276423693776187,0.0036642975553925466,0
Tegawendé F. Bissyandé,4:a207e2fc-2358-4733-aaec-376a2c17a19b:612,59,118,0.007925079120012665,0.003629414421475295,0
Manuel Rigger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:429,10,12,0.0036147779955904348,0.0036147779955904348,0
Iftekhar Ahmed 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2406,33,39,0.0030221192975969143,0.0035764137749469565,0
Jon Whittle 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1075,31,49,0.003991991250628897,0.0035702723487993013,0
Darko Marinov,4:a207e2fc-2358-4733-aaec-376a2c17a19b:101,30,37,0.0019984104974291746,0.0035529526933128276,0
Gabriele Bavota,4:a207e2fc-2358-4733-aaec-376a2c17a19b:645,51,164,0.01639328690150967,0.003545748820994998,0
Emad Shihab,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1393,30,39,0.0017710773709932303,0.003541631113984968,0
Yasutaka Kamei,4:a207e2fc-2358-4733-aaec-376a2c17a19b:745,21,32,0.002689848113737948,0.003524414082818482,0
Stefan Wagner 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:38,44,72,0.00860904307516827,0.0035183065635474428,0
Amir Molzam Sharifloo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1525,28,30,0.002889972976613925,0.003516353808702647,0
Radu Calinescu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2902,53,67,0.003468344388074606,0.003509885889806819,0
Gregor Engels,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4861,21,29,0.003678329471853143,0.0035060665225384916,0
Jianmei Guo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4,18,25,0.004453968275673189,0.0035059972491741287,0
Manuel Wimmer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:719,22,26,0.002492623368761852,0.0034902391804581866,0
Daniela E. Damian,4:a207e2fc-2358-4733-aaec-376a2c17a19b:340,30,40,0.0019479469158356676,0.003487600321203946,0
Jeff Huang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5102,29,33,0.0034721856704588794,0.0034610826073016385,0
Joshua Garcia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1888,37,60,0.002364549547224293,0.003459384052273005,0
Jinhan Kim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3097,10,11,0.0034024849105856775,0.003409561611369349,0
