name,database_id,n_conferences,ICSA,ICSE,ECSA,total_pubs,degree_weighted,betweenness_unweighted,betweenness_weighted,clustering_unweighted,connected_component
Florian Wessling,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5848,3,3,3,1,7,11,0.001426297051072,0.0019102982251268,0.3636363636363636,0
Andreas Wortmann 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:817,3,3,3,1,7,21,0.0014079197858569,0.0012957852329575,0.2476190476190476,0
Tobias Hey 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:68,3,1,4,1,6,11,0.0013848688115053,0.0013848373074958,0.4545454545454545,0
Pierre-Yves Schobbens,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5580,3,1,4,2,7,15,0.0013785478960289,0.0005973543642785,0.3142857142857143,0
Paulo Henrique M. Maia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4563,3,3,4,1,8,22,0.0013685950153221,0.0013197409055185,0.1428571428571428,0
Ian Gorton,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8712,3,5,2,1,8,14,0.0013573354925297,0.0010175580436001,0.1538461538461538,0
Mohamad Kassab,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2215,3,5,5,2,12,27,0.0013201466163256,0.0030620337847073,0.2051282051282051,0
Matthias Riebisch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3780,3,6,2,5,13,18,0.0013031851993963,0.0038047683956844,0.2156862745098039,0
Mauro Caporuscio,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9717,3,2,1,8,11,23,0.0012754617093641,0.0013546592354772,0.1462450592885375,0
Joost Visser 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6335,3,1,4,1,6,14,0.0012142489370794,0.0011724243442885,0.1318681318681318,0
Olaf Zimmermann,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4885,3,3,1,5,9,16,0.0012091602832389,0.0007396824520678,0.1583333333333333,0
Anas Shatnawi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9677,3,1,1,1,3,12,0.0011852988989954,0.0006882652021032,0.3636363636363636,0
Morgan Ericsson,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6183,3,2,6,11,19,13,0.0011847622541902,0.0012018455599423,0.2692307692307692,0
Raffaela Mirandola,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2460,3,5,2,11,18,25,0.0011476898668036,0.0031472640632613,0.24,0
Mark Staples,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7922,3,4,3,1,8,17,0.0011433005713194,0.0005364357116281,0.3382352941176471,0
Alexander Chatzigeorgiou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1585,3,1,5,2,8,21,0.0011400881460498,0.0014123757577442,0.2047619047619047,0
