name,database_id,degree_weighted,betweenness_unweighted,clustering_unweighted,k_shell,role
Leonardo Silva Vianna,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13340,1,0.0,0.0,1,broker
Leonardo Simas Duarte,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12771,26,0.0,1.0,26,core
Leonhard Applis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5182,4,0.0,1.0,4,core
Leonidas Lampropoulos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3962,3,0.0,1.0,3,core
Leonie Sterz,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12181,4,0.0,1.0,4,core
Leonor Barroca 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6951,5,0.0,1.0,5,core
Lera Kharatyan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10272,15,0.0,1.0,15,core
Lerina Aversano,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9918,1,0.0,0.0,1,broker
Leslie Kanthan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4798,4,0.0,1.0,4,core
Leslie Rand-Pickett,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10815,3,0.0,1.0,3,core
Letizia Paoli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11994,6,0.0,1.0,6,core
Lev Sorokin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6088,4,0.0,1.0,4,core
Lex Bijlsma 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1911,4,0.0,1.0,4,core
Lexi Brent,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8021,3,0.0,1.0,3,core
Leyi Cui,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10951,6,0.0,1.0,6,core
Lezhi Ma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7200,4,0.0,1.0,4,core
Li Huang 0006,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8305,2,0.0,1.0,2,peripheral
Li Li 0091,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6180,4,0.0,1.0,4,core
Li Sui,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4938,3,0.0,1.0,3,core
Li Wang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3725,6,0.0,1.0,6,core
Li Yang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11654,15,0.0,1.0,15,core
Li Yu 0008,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2800,6,0.0,1.0,6,core
Li Yuan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1177,3,0.0,1.0,3,core
Li-Hsuan Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5843,3,0.0,1.0,3,core
Liam Glenny,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4995,4,0.0,1.0,4,core
Liam Todd,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9530,2,0.0,1.0,2,peripheral
Lian Li 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10710,4,0.0,1.0,4,core
Liang Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9068,37,0.0,1.0,37,core
Liang Cheng 0004,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1420,6,0.0,1.0,6,core
Liang He 0011,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10897,4,0.0,1.0,4,core
