name,conference,year,role
Romina Eramo,icsa,2018,core
Philipp Obergfell,icsa,2018,core
Yaping Luo,icsa,2018,core
Rushikesh K. Joshi,icsa,2018,core
Darko Durisic,icsa,2018,core
Danylo Khalyeyev,icsa,2018,core
Patricia Aluko Obe,icsa,2018,core
Roger Evans,icsa,2018,core
Davide Arcelli,icsa,2018,core
Bo Xiang,icsa,2018,core
Neil A. Ernst,icsa,2018,core
Michael Szvetits,icsa,2018,broker
Jan Kramer,icsa,2018,core
Ipek Ozkaya,icsa,2018,broker
Damian A. Tamburri,icsa,2018,core
Marcelo França 0001,icsa,2018,broker
Cláudia M. L. Werner,icsa,2018,broker
Michele Tucci 0001,icsa,2018,core
Detlef Stolten,icsa,2018,core
Hemali Kamani,icsa,2018,broker
Jeremy Mangas,icsa,2018,core
Jürgen Walter,icsa,2018,core
Carianne Pretorius,icsa,2018,core
Jan Martijn E. M. van der Werf,icsa,2018,core
Daniel Link 0003,icsa,2018,core
Clemens Düpmeier,icsa,2018,core
David Hettler,icsa,2018,core
Jens Knodel,icsa,2018,core
Thaís Batista,icsa,2018,core
Stefan Kugele,icsa,2018,core
He Zhang 0001,icsa,2018,core
Klaas Andries de Graaf,icsa,2018,broker
Raghvinder S. Sangwan,icsa,2018,broker
Matthias Naab,icsa,2018,core
Ian Gorton,icsa,2018,core
Christian Prehofer,icsa,2018,core
Grace A. Lewis,icsa,2018,broker
Olaf Zimmermann,icsa,2018,core
Yanja Dajsuren,icsa,2018,core
Jennifer Brings,icsa,2018,core
Lubomír Bulej,icsa,2018,core
Daniele Di Pompeo,icsa,2018,core
Saurab Rajkarnikar,icsa,2018,core
Nour Ali,icsa,2018,core
Stefen Becker,icsa,2018,core
Jean-Guy Schneider,icsa,2018,broker
J. Andres Diaz-Pace,icsa,2018,core
Rebekka Wohlrab,icsa,2018,core
Mohamed Soliman 0001,icsa,2018,core
Paul Raff,icsa,2018,core
Eric Sax,icsa,2018,core
Matthias Traub,icsa,2018,core
Diego Perez-Palacin,icsa,2018,core
Vojtech Horký,icsa,2018,core
Ronny Seiger,icsa,2018,core
Matthias Galster,icsa,2018,core
Mattia D'Emidio,icsa,2018,core
Florian Oszwald,icsa,2018,core
Shrikant Palkar,icsa,2018,broker
Vrinda Yadav,icsa,2018,core
Matthias Riebisch,icsa,2018,core
Alexandru Constantin Serban,icsa,2018,core
Stefan Gries 0001,icsa,2018,core
Ingo Weber,icsa,2018,core
Flávio Oquendo,icsa,2018,core
Jan Peter,icsa,2018,core
Johannes Grohmann,icsa,2018,core
Marian Daun,icsa,2018,core
Yuriy Brun,icsa,2018,core
Joost Visser 0001,icsa,2018,core
Priyanka Karkhanis,icsa,2018,core
Barbora Buhnova,icsa,2018,core
Rakesh Rana,icsa,2018,core
Patricia Lago,icsa,2018,core
Sea Ling,icsa,2018,core
Mark Staples,icsa,2018,core
Jens Doppelhamer,icsa,2018,core
Christian Bartelt,icsa,2018,broker
Elisabetta Di Nitto,icsa,2018,core
Kevin Koch,icsa,2018,core
Andreas Burger,icsa,2018,core
Amr Rekaby Salama,icsa,2018,core
Wouter Joosen,icsa,2018,core
Gregor Engels,icsa,2018,core
Matej Artac,icsa,2018,core
Koen Yskout,icsa,2018,core
Jianlei Liu,icsa,2018,core
Paolo Di Francesco,icsa,2018,core
Erik Poll,icsa,2018,core
Petr Tuma 0001,icsa,2018,core
Dominik Rost,icsa,2018,core
Eric Braun,icsa,2018,core
Nuha Alshuqayran,icsa,2018,core
Rajitha Yasaweerasinghelage,icsa,2018,core
Youn Kyu Lee,icsa,2018,core
Veit Hagenmeyer,icsa,2018,core
Sergio García 0002,icsa,2018,core
Geert Kwintenberg,icsa,2018,core
Bastian Tenbergen,icsa,2018,core
Tom Lusco,icsa,2018,core
Oscar J. Romero,icsa,2018,broker
Sebastiaan Klaasse,icsa,2018,core
Florian Wessling,icsa,2018,core
Sheik Hoque,icsa,2018,broker
Ilias Gerostathopoulos,icsa,2018,core
Somit Gupta,icsa,2018,core
Patrick Kuckertz,icsa,2018,core
Jair C. Leite,icsa,2018,core
Tadej Borovsak,icsa,2018,core
Jasmin Jahic,icsa,2018,core
Martin Becker 0002,icsa,2018,core
Marc Hesenius,icsa,2018,core
Andriy V. Miranskyy,icsa,2018,broker
Uwe Hohenstein,icsa,2018,core
Liming Zhu 0001,icsa,2018,broker
Hanieh Alipour,icsa,2018,broker
Volker Gruhn,icsa,2018,core
Ivano Malavolta,icsa,2018,core
Sumit Bhardwaj,icsa,2018,core
Tommy Lagercrantz,icsa,2018,core
Lucy Ulanova,icsa,2018,core
Marcela Ruiz,icsa,2018,core
Martin Robinius,icsa,2018,core
Akash Manjunath,icsa,2018,core
Heiko Koziolek,icsa,2018,core
Sushma Anand Akoju,icsa,2018,broker
Steffen Huber,icsa,2018,core
John Mills,icsa,2018,core
Pablo Oliveira Antonino,icsa,2019,broker
Volker Gruhn,icsa,2019,broker
Danny Weyns,icsa,2019,broker
Fabian Gilson,icsa,2019,broker
Stefan Kugele,icsa,2019,broker
Ralf H. Reussner,icsa,2019,broker
Anne Koziolek,icsa,2019,broker
Jasmin Jahic,icsa,2019,broker
