name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Andrew C. Rice,Andrew Rice,andrew rice,andrew rice,1.0,0,
José D'Abruzzo Pereira,José Davi Pereira,jose pereira,jose pereira,1.0,0,
Thi Dinh Tran,Thi Ngoc Trang Tran,thi tran,thi tran,1.0,0,
Rafael F. Toledo,Rafael Toledo,rafael toledo,rafael toledo,1.0,0,
Daniel A. Mayer,Daniel Mayer,daniel mayer,daniel mayer,1.0,0,
Mikael Mayer,Mikaël Mayer,mikael mayer,mikael mayer,1.0,0,
Syed Asad Ali Naqvi,Syed Naqvi,syed naqvi,syed naqvi,1.0,0,
Syed Asad Naqvi,Syed Naqvi,syed naqvi,syed naqvi,1.0,0,
Chanchal Kumar Roy,Chanchal Roy,chanchal roy,chanchal roy,1.0,0,
Rosana T. V. Braga,Rosana T. Vaccare Braga,rosana braga,rosana braga,1.0,0,
Rosana T. V. Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,0,
Mauricio Finavaro Aniche,Maurício Aniche,mauricio aniche,mauricio aniche,1.0,0,
Carina Alves 0001,Carina Frota Alves,carina alves,carina alves,1.0,0,
Mika Mäntylä,Mika V. Mäntylä,mika mantyla,mika mantyla,1.0,0,
Eduardo Cunha de Almeida,Eduardo Santana De Almeida,eduardo almeida,eduardo almeida,1.0,0,
Eduardo Cunha de Almeida,Eduardo Santana de Almeida,eduardo almeida,eduardo almeida,1.0,0,
Eduardo Santana De Almeida,Eduardo Santana de Almeida,eduardo almeida,eduardo almeida,1.0,0,
Rodrigo L. A. Almeida,Rodrigo Rebouças de Almeida,rodrigo almeida,rodrigo almeida,1.0,0,
Gastón Marquez,Gastón Márquez,gaston marquez,gaston marquez,1.0,0,
Kevin J. Sullivan,Kevin Sullivan,kevin sullivan,kevin sullivan,1.0,0,
José Campos 0001,José Creissac Campos,jose campos,jose campos,1.0,0,
Everton Guimarães,Everton T. Guimarães,everton guimaraes,everton guimaraes,1.0,0,
