name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Sohil L. Shrestha,Sohil Lal Shrestha,sohil shrestha,sohil shrestha,1.0,1,Christoph Csallner

Mehdi Mirakhorli,Mehdi Tarrit Mirakhorli,mehdi mirakhorli,mehdi mirakhorli,1.0,1,Viktoria Koscinski

Mahmoud Hammad,Mahmoud M. Hammad,mahmoud hammad,mahmoud hammad,1.0,1,Sam Malek

Adailton M. Lima,Adailton Magalhães Lima,adailton lima,adailton lima,1.0,1,Rodrigo Quites Reis

Fábio Basso,Fábio Paulo Basso,fabio basso,fabio basso,1.0,1,Toacy Cavalcante de Oliveira

Eliane Stampfer Wiese,Eliane Wiese,eliane wiese,eliane wiese,1.0,1,Anna N. Rafferty

Igor Fabio Steinmacher,Igor Steinmacher,igor steinmacher,igor steinmacher,1.0,1,Tayana Uchôa Conte

Stefan Albert Horstmann,Stefan Horstmann,stefan horstmann,stefan horstmann,1.0,1,Alena Naiakshina

Vikrant Kaulgud,Vikrant S. Kaulgud,vikrant kaulgud,vikrant kaulgud,1.0,1,Vibhu Saujanya Sharma

Matteo G. Rossi,Matteo Rossi 0001,matteo rossi,matteo rossi,1.0,1,Marcello M. Bersani

Jim Alain Laredo,Jim Laredo,jim laredo,jim laredo,1.0,1,Yunhui Zheng

Paulo Henrique M. Maia,Paulo Henrique Mendes Maia,paulo maia,paulo maia,1.0,1,Davi Monteiro Barbosa

Awdren L. Fontão,Awdren de Lima Fontão,awdren fontao,awdren fontao,1.0,1,Rodrigo Pereira dos Santos

Javam C. Machado,Javam de Castro Machado,javam machado,javam machado,1.0,1,Leonardo O. Moreira

Letícia Machado,Letícia Santos Machado,leticia machado,leticia machado,1.0,1,Cleidson R. B. de Souza

Letícia S. Machado,Letícia Santos Machado,leticia machado,leticia machado,1.0,1,Cleidson R. B. de Souza

Mir Anamul Hasan,Mir Hasan,mir hasan,mir hasan,1.0,1,Sonia Haiduc

Juan P. Galeotti,Juan Pablo Galeotti,juan galeotti,juan galeotti,1.0,1,Andreas Zeller

Saemundur Haraldsson,Saemundur O. Haraldsson,saemundur haraldsson,saemundur haraldsson,1.0,1,John R. Woodward

Nikolas Herbst,Nikolas Roman Herbst,nikolas herbst,nikolas herbst,1.0,1,Samuel Kounev

Johan J. Lukkien,Johan Lukkien,johan lukkien,johan lukkien,1.0,1,Pieter J. L. Cuijpers

Stefan Haselbock,Stefan Haselböck,stefan haselbock,stefan haselbock,1.0,1,Rainer Weinreich

Carlos S. S. Marinho,Carlos Sérgio da S. Marinho,carlos marinho,carlos marinho,1.0,1,Leonardo O. Moreira

Shirley Moore,Shirley V. Moore,shirley moore,shirley moore,1.0,0,

An Chen,An Ran Chen,an chen,an chen,1.0,0,

Ze Li 0005,Ze Shi Li,ze li,ze li,1.0,0,

Michael Coblenz,Michael J. Coblenz,michael coblenz,michael coblenz,1.0,0,

Tian Huat Tan,Tian Tan 0001,tian tan,tian tan,1.0,0,

Emanuel F. Coutinho,Emanuel Ferreira Coutinho,emanuel coutinho,emanuel coutinho,1.0,0,

Andre Luís de Medeiros Santos,André Santos 0001,andre santos,andre santos,1.0,0,

Bruno C. da Silva 0002,Bruno Castro da Silva,bruno silva,bruno silva,1.0,0,

Bruno C. da Silva 0002,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,

Bruno Castro da Silva,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,

Eduardo Bezerra da Silva,Eduardo Ferreira da Silva,eduardo silva,eduardo silva,1.0,0,

Eduardo Bezerra da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,

Eduardo Ferreira da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,

Fabio Q. B. da Silva,Fabio Queda Bueno da Silva,fabio silva,fabio silva,1.0,0,

Fabio Q. B. da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,
