name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,status
Rodrigo O. Spínola,Rodrigo Oliveira Spínola,rodrigo spinola,rodrigo spinola,1.0,2,both
Ronnie E. S. Santos,Ronnie Edson de Souza Santos,ronnie santos,ronnie santos,1.0,2,both
Rosana T. Vaccare Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,1,both
S M Hasan Mansur 0001,S. M. Hasan Mansur 0001,s mansur,s. mansur,0.941,1,resolved_only
Saemundur Haraldsson,Saemundur O. Haraldsson,saemundur haraldsson,saemundur haraldsson,1.0,1,both
Shirley Moore,Shirley V. Moore,shirley moore,shirley moore,1.0,0,manual_only
Shizhuo Dylan Zhang,Shizhuo Zhang,shizhuo zhang,shizhuo zhang,1.0,4,both
Sohil L. Shrestha,Sohil Lal Shrestha,sohil shrestha,sohil shrestha,1.0,1,both
Stefan Albert Horstmann,Stefan Horstmann,stefan horstmann,stefan horstmann,1.0,1,both
Stefan Haselbock,Stefan Haselböck,stefan haselbock,stefan haselbock,1.0,1,both
Stefen Becker,Steffen Becker 0001,stefen becker,steffen becker,0.963,1,resolved_only
Steve Versteeg,Steven Versteeg,steve versteeg,steven versteeg,0.966,3,resolved_only
Syed Asad Ali Naqvi,Syed Asad Naqvi,syed naqvi,syed naqvi,1.0,1,both
Tayana Conte,Tayana Uchôa Conte,tayana conte,tayana conte,1.0,5,both
Thaís Batista,Thaís Vasconcelos Batista,thais batista,thais batista,1.0,4,both
Themistoklis Diamantopoulos,Themistoklis G. Diamantopoulos,themistoklis diamantopoulos,themistoklis diamantopoulos,1.0,1,both
Tian Huat Tan,Tian Tan 0001,tian tan,tian tan,1.0,0,manual_only
Tse-Hsun (Peter) Chen,Tse-Hsun Chen,tse-hsun chen,tse-hsun chen,1.0,7,both
Tse-Hsun (Peter) Chen,Tse-Hsun Peter Chen,tse-hsun chen,tse-hsun chen,1.0,4,both
Tse-Hsun Chen,Tse-Hsun Peter Chen,tse-hsun chen,tse-hsun chen,1.0,5,both
Vikrant Kaulgud,Vikrant S. Kaulgud,vikrant kaulgud,vikrant kaulgud,1.0,1,both
Wesley K. G. Assunção,Wesley Klewerton Guez Assunção,wesley assuncao,wesley assuncao,1.0,2,both
Yan Liu,Yang Liu 0003,yan liu,yang liu,0.933,1,resolved_only
Yanli Wang 0001,Yanlin Wang 0001,yanli wang,yanlin wang,0.952,5,resolved_only
Ze Li 0005,Ze Shi Li,ze li,ze li,1.0,0,manual_only
Zhen Ming (Jack) Jiang,Zhen Ming Jack Jiang,zhen jiang,zhen jiang,1.0,1,both
Zhen Ming (Jack) Jiang,Zhen Ming Jiang,zhen jiang,zhen jiang,1.0,1,both
Zhen Ming Jack Jiang,Zhen Ming Jiang,zhen jiang,zhen jiang,1.0,2,both
Zhong Chen 0001,Zhongqi Chen,zhong chen,zhongqi chen,0.909,1,resolved_only
