name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Muhammad Ashfakur Rahman Arju,Muhmmad Ashfakur Rahman Arju,muhammad arju,muhmmad arju,0.96,2,Amr S. Abdelfattah; Tomás Cerný
Nikolas Herbst,Nikolas Roman Herbst,nikolas herbst,nikolas herbst,1.0,1,Samuel Kounev
Patrick J. Morrison,Patrick Morrison,patrick morrison,patrick morrison,1.0,1,Laurie A. Williams
Paulo Henrique M. Maia,Paulo Henrique Mendes Maia,paulo maia,paulo maia,1.0,1,Davi Monteiro Barbosa
Phuong T. Nguyen 0001,Phuong Thanh Nguyen 0001,phuong nguyen,phuong nguyen,1.0,1,Davide Di Ruscio
Qanjun Zhang,Quanjun Zhang,qanjun zhang,quanjun zhang,0.96,3,Chunrong Fang; Jiawei Liu; Xufan Zhang
Roberto E. Lopez-Herrejon,Roberto Erick Lopez-Herrejon,roberto lopez-herrejon,roberto lopez-herrejon,1.0,2,Alexander Egyed; Lukas Linsbauer
Rodrigo O. Spínola,Rodrigo Oliveira Spínola,rodrigo spinola,rodrigo spinola,1.0,2,Carolyn B. Seaman; Nicolli Rios
Ronnie E. S. Santos,Ronnie Edson de Souza Santos,ronnie santos,ronnie santos,1.0,2,Cleyton V. C. de Magalhães; Maria Teresa Baldassarre
Rosana T. Vaccare Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,1,Iohan Gonçalves Vargas
S M Hasan Mansur 0001,S. M. Hasan Mansur 0001,s mansur,s. mansur,0.941,1,Kevin Moran
Saemundur Haraldsson,Saemundur O. Haraldsson,saemundur haraldsson,saemundur haraldsson,1.0,1,John R. Woodward
Shizhuo Dylan Zhang,Shizhuo Zhang,shizhuo zhang,shizhuo zhang,1.0,4,Alex Sanchez-Stern; Talia Ringer; Yuriy Brun; Zhanna Kaufman
Sohil L. Shrestha,Sohil Lal Shrestha,sohil shrestha,sohil shrestha,1.0,1,Christoph Csallner
Stefan Albert Horstmann,Stefan Horstmann,stefan horstmann,stefan horstmann,1.0,1,Alena Naiakshina
Stefan Haselbock,Stefan Haselböck,stefan haselbock,stefan haselbock,1.0,1,Rainer Weinreich
Stefen Becker,Steffen Becker 0001,stefen becker,steffen becker,0.963,1,Markus Frank
