name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Daniel Oliveira 0005,Daniel Tenório Martins de Oliveira,daniel oliveira,daniel oliveira,1.0,2,Alessandro Garcia; Baldoino Fonseca
Edson César Cunha de Oliveira,Edson Oliveira 0001,edson oliveira,edson oliveira,1.0,2,Adriana Lopes; Tayana Conte
Christopher A. Sanchez,Christopher Sanchez,christopher sanchez,christopher sanchez,1.0,2,Anita Sarma; Rahul Pandita
Chanchal K. Roy,Chanchal Kumar Roy,chanchal roy,chanchal roy,1.0,2,Jeffrey Svajlenko; Mohammad Masudur Rahman
Mauricio Finavaro Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,2,Arie van Deursen; Christoph Treude
Fabiola Moyon,Fabiola Moyón,fabiola moyon,fabiola moyon,1.0,2,Florian Angermeir; Markus Voggenreiter
Carlos M. Aderaldo,Carlos Mendes Aderaldo,carlos aderaldo,carlos aderaldo,1.0,2,David Garlan; Nabor C. Mendonça
Rodrigo O. Spínola,Rodrigo Oliveira Spínola,rodrigo spinola,rodrigo spinola,1.0,2,Carolyn B. Seaman; Nicolli Rios
Gudjon Einar Magnusson,Gudjon Magnusson,gudjon magnusson,gudjon magnusson,1.0,2,Adam A. Porter; Mikael Lindvall
Ayse Basar Bener,Ayse Bener,ayse bener,ayse bener,1.0,2,Shirin Akbarinasaji; Syed Shariyar Murtaza
Bora Caglayan,Bora Çaglayan,bora caglayan,bora caglayan,1.0,2,Andriy V. Miranskyy; Ayse Basar Bener
Roberto E. Lopez-Herrejon,Roberto Erick Lopez-Herrejon,roberto lopez-herrejon,roberto lopez-herrejon,1.0,2,Alexander Egyed; Lukas Linsbauer
Mark G. J. van den Brand,Mark van den Brand,mark brand,mark brand,1.0,2,Priyanka Karkhanis; Yanja Dajsuren
Jan Pacovsky,Jan Pacovský,jan pacovsky,jan pacovsky,1.0,2,Petr Hnetynka; Tomás Bures
Fernando Figueira Filho,Fernando Marques Figueira Filho,fernando filho,fernando filho,1.0,2,Cleidson R. B. de Souza; Sabrina Marczak
Akond Ashfaque Ur Rahman,Akond Rahman,akond rahman,akond rahman,1.0,1,Laurie A. Williams
Zhen Ming (Jack) Jiang,Zhen Ming Jack Jiang,zhen jiang,zhen jiang,1.0,1,Boyuan Chen
Zhen Ming (Jack) Jiang,Zhen Ming Jiang,zhen jiang,zhen jiang,1.0,1,Boyuan Chen
Themistoklis Diamantopoulos,Themistoklis G. Diamantopoulos,themistoklis diamantopoulos,themistoklis diamantopoulos,1.0,1,Andreas L. Symeonidis
Aditya Ghose,Aditya K. Ghose,aditya ghose,aditya ghose,1.0,1,Hoa Khanh Dam
Phuong T. Nguyen 0001,Phuong Thanh Nguyen 0001,phuong nguyen,phuong nguyen,1.0,1,Davide Di Ruscio
Danfeng (Daphne) Yao,Danfeng Daphne Yao,danfeng yao,danfeng yao,1.0,1,Na Meng
Lucas B. R. Oliveira,Lucas Bueno Ruas de Oliveira,lucas oliveira,lucas oliveira,1.0,1,Milena Guessi
Patrick J. Morrison,Patrick Morrison,patrick morrison,patrick morrison,1.0,1,Laurie A. Williams
Cláudia M. L. Werner,Cláudia Maria Lima Werner,claudia werner,claudia werner,1.0,1,Toacy Cavalcante de Oliveira
Michel Chaudron,Michel R. V. Chaudron,michel chaudron,michel chaudron,1.0,1,Satrio Adi Rukmono
Syed Asad Ali Naqvi,Syed Asad Naqvi,syed naqvi,syed naqvi,1.0,1,Awais Rashid
Rosana T. Vaccare Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,1,Iohan Gonçalves Vargas
Jaime Navon,Jaime Navón,jaime navon,jaime navon,1.0,1,José I. Benedetto
Maurício Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,1,Annibale Panichella
Luis Cruz 0002,Luís Cruz 0002,luis cruz,luis cruz,1.0,1,Arie van Deursen
Sohil L. Shrestha,Sohil Lal Shrestha,sohil shrestha,sohil shrestha,1.0,1,Christoph Csallner
Mehdi Mirakhorli,Mehdi Tarrit Mirakhorli,mehdi mirakhorli,mehdi mirakhorli,1.0,1,Viktoria Koscinski
Mahmoud Hammad,Mahmoud M. Hammad,mahmoud hammad,mahmoud hammad,1.0,1,Sam Malek
Adailton M. Lima,Adailton Magalhães Lima,adailton lima,adailton lima,1.0,1,Rodrigo Quites Reis
Fábio Basso,Fábio Paulo Basso,fabio basso,fabio basso,1.0,1,Toacy Cavalcante de Oliveira
Eliane Stampfer Wiese,Eliane Wiese,eliane wiese,eliane wiese,1.0,1,Anna N. Rafferty
Igor Fabio Steinmacher,Igor Steinmacher,igor steinmacher,igor steinmacher,1.0,1,Tayana Uchôa Conte
Stefan Albert Horstmann,Stefan Horstmann,stefan horstmann,stefan horstmann,1.0,1,Alena Naiakshina
Vikrant Kaulgud,Vikrant S. Kaulgud,vikrant kaulgud,vikrant kaulgud,1.0,1,Vibhu Saujanya Sharma
Matteo G. Rossi,Matteo Rossi 0001,matteo rossi,matteo rossi,1.0,1,Marcello M. Bersani
Jim Alain Laredo,Jim Laredo,jim laredo,jim laredo,1.0,1,Yunhui Zheng
André A. Meyer,André N. Meyer,andre meyer,andre meyer,1.0,1,Thomas Fritz
Paulo Henrique M. Maia,Paulo Henrique Mendes Maia,paulo maia,paulo maia,1.0,1,Davi Monteiro Barbosa
Awdren L. Fontão,Awdren de Lima Fontão,awdren fontao,awdren fontao,1.0,1,Rodrigo Pereira dos Santos
Javam C. Machado,Javam de Castro Machado,javam machado,javam machado,1.0,1,Leonardo O. Moreira
Letícia Machado,Letícia Santos Machado,leticia machado,leticia machado,1.0,1,Cleidson R. B. de Souza
Letícia S. Machado,Letícia Santos Machado,leticia machado,leticia machado,1.0,1,Cleidson R. B. de Souza
Mir Anamul Hasan,Mir Hasan,mir hasan,mir hasan,1.0,1,Sonia Haiduc
Juan P. Galeotti,Juan Pablo Galeotti,juan galeotti,juan galeotti,1.0,1,Andreas Zeller
Saemundur Haraldsson,Saemundur O. Haraldsson,saemundur haraldsson,saemundur haraldsson,1.0,1,John R. Woodward
Nikolas Herbst,Nikolas Roman Herbst,nikolas herbst,nikolas herbst,1.0,1,Samuel Kounev
Johan J. Lukkien,Johan Lukkien,johan lukkien,johan lukkien,1.0,1,Pieter J. L. Cuijpers
Stefan Haselbock,Stefan Haselböck,stefan haselbock,stefan haselbock,1.0,1,Rainer Weinreich
Carlos S. S. Marinho,Carlos Sérgio da S. Marinho,carlos marinho,carlos marinho,1.0,1,Leonardo O. Moreira
Shirley Moore,Shirley V. Moore,shirley moore,shirley moore,1.0,0,
Md. Masudur Rahman 0001,Md. Rayhanur Rahman,md. rahman,md. rahman,1.0,0,
Md. Masudur Rahman 0001,Md. Rezaur Rahman,md. rahman,md. rahman,1.0,0,
Md. Rayhanur Rahman,Md. Rezaur Rahman,md. rahman,md. rahman,1.0,0,
Jie M. Zhang,Jie Zhang 0050,jie zhang,jie zhang,1.0,0,
Jie M. Zhang,Jie Zhang 0084,jie zhang,jie zhang,1.0,0,
Yu David Liu,Yu Liu,yu liu,yu liu,1.0,0,
Yu David Liu,Yu Liu 0079,yu liu,yu liu,1.0,0,
Yu David Liu,Yu Liu 0090,yu liu,yu liu,1.0,0,
XiaoFeng Wang 0001,Xiaofeng Wang 0001,xiaofeng wang,xiaofeng wang,1.0,0,
An Chen,An Ran Chen,an chen,an chen,1.0,0,
Ze Li 0005,Ze Shi Li,ze li,ze li,1.0,0,
Michael Coblenz,Michael J. Coblenz,michael coblenz,michael coblenz,1.0,0,
Tian Huat Tan,Tian Tan 0001,tian tan,tian tan,1.0,0,
Emanuel F. Coutinho,Emanuel Ferreira Coutinho,emanuel coutinho,emanuel coutinho,1.0,0,
Andre Luís de Medeiros Santos,André Santos 0001,andre santos,andre santos,1.0,0,
Ronnie E. S. Santos,Ronnie de Souza Santos,ronnie santos,ronnie santos,1.0,0,
Ronnie Edson de Souza Santos,Ronnie de Souza Santos,ronnie santos,ronnie santos,1.0,0,
Bruno C. da Silva 0002,Bruno Castro da Silva,bruno silva,bruno silva,1.0,0,
Bruno C. da Silva 0002,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,
Bruno Castro da Silva,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,
Eduardo Bezerra da Silva,Eduardo Ferreira da Silva,eduardo silva,eduardo silva,1.0,0,
Eduardo Bezerra da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,
Eduardo Ferreira da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,
Fabio Q. B. da Silva,Fabio Queda Bueno da Silva,fabio silva,fabio silva,1.0,0,
Fabio Q. B. da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,
Fabio Queda Bueno da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,
Valeria Silva,Valéria Martins Da Silva,valeria silva,valeria silva,1.0,0,
Sebastian C. Muller,Sebastian C. Müller,sebastian muller,sebastian muller,1.0,0,
Hoang H. Nguyen,Hoang Lam Nguyen,hoang nguyen,hoang nguyen,1.0,0,
Thanh H. D. Nguyen,Thanh Van Nguyen,thanh nguyen,thanh nguyen,1.0,0,
ThanhVu H. Nguyen,ThanhVu Nguyen,thanhvu nguyen,thanhvu nguyen,1.0,0,
Timothy C. Lethbridge,Timothy Lethbridge,timothy lethbridge,timothy lethbridge,1.0,0,
MyeongSoo Kim,Myeongsoo Kim,myeongsoo kim,myeongsoo kim,1.0,0,
Kevin Guan,Kevin Z. Guan,kevin guan,kevin guan,1.0,0,
Carlos Eduardo Duarte,Carlos Henrique C. Duarte,carlos duarte,carlos duarte,1.0,0,
Francisco Duarte,Francisco J. Duarte,francisco duarte,francisco duarte,1.0,0,
Muhammad Khan,Muhammad Taimoor Khan 0001,muhammad khan,muhammad khan,1.0,0,
Emitza Guzman,Emitzá Guzmán,emitza guzman,emitza guzman,1.0,0,
Emil C. Lupu,Emil Constantine Lupu,emil lupu,emil lupu,1.0,0,
André Luíz de Oliveira,André Oliveira,andre oliveira,andre oliveira,1.0,0,
Roberto Felicio Oliveira 0003,Roberto Oliveira 0002,roberto oliveira,roberto oliveira,1.0,0,
Bernardo Estácio,Bernardo José da Silva Estácio,bernardo estacio,bernardo estacio,1.0,0,
Jose Manuel Redondo López,José Antonio Hernández López,jose lopez,jose lopez,1.0,0,
Andrew C. Rice,Andrew Rice,andrew rice,andrew rice,1.0,0,
José D'Abruzzo Pereira,José Davi Pereira,jose pereira,jose pereira,1.0,0,
Thi Dinh Tran,Thi Ngoc Trang Tran,thi tran,thi tran,1.0,0,
Rafael F. Toledo,Rafael Toledo,rafael toledo,rafael toledo,1.0,0,
Daniel A. Mayer,Daniel Mayer,daniel mayer,daniel mayer,1.0,0,
Mikael Mayer,Mikaël Mayer,mikael mayer,mikael mayer,1.0,0,
Syed Asad Ali Naqvi,Syed Naqvi,syed naqvi,syed naqvi,1.0,0,
Syed Asad Naqvi,Syed Naqvi,syed naqvi,syed naqvi,1.0,0,
Chanchal Kumar Roy,Chanchal Roy,chanchal roy,chanchal roy,1.0,0,
Rosana T. V. Braga,Rosana T. Vaccare Braga,rosana braga,rosana braga,1.0,0,
Rosana T. V. Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,0,
Mauricio Finavaro Aniche,Maurício Aniche,mauricio aniche,mauricio aniche,1.0,0,
Carina Alves 0001,Carina Frota Alves,carina alves,carina alves,1.0,0,
Mika Mäntylä,Mika V. Mäntylä,mika mantyla,mika mantyla,1.0,0,
Eduardo Cunha de Almeida,Eduardo Santana De Almeida,eduardo almeida,eduardo almeida,1.0,0,
Eduardo Cunha de Almeida,Eduardo Santana de Almeida,eduardo almeida,eduardo almeida,1.0,0,
Eduardo Santana De Almeida,Eduardo Santana de Almeida,eduardo almeida,eduardo almeida,1.0,0,
Rodrigo L. A. Almeida,Rodrigo Rebouças de Almeida,rodrigo almeida,rodrigo almeida,1.0,0,
Gastón Marquez,Gastón Márquez,gaston marquez,gaston marquez,1.0,0,
Kevin J. Sullivan,Kevin Sullivan,kevin sullivan,kevin sullivan,1.0,0,
José Campos 0001,José Creissac Campos,jose campos,jose campos,1.0,0,
Everton Guimarães,Everton T. Guimarães,everton guimaraes,everton guimaraes,1.0,0,
Eduardo Figueiredo 0001,Eduardo Magno Lages Figueiredo,eduardo figueiredo,eduardo figueiredo,1.0,0,
Jan Bækgaard Pedersen,Jan Pedersen 0001,jan pedersen,jan pedersen,1.0,0,
Diego Costa 0001,Diego Elias Costa,diego costa,diego costa,1.0,0,
Heitor A. X. Costa,Heitor Augustus Xavier Costa,heitor costa,heitor costa,1.0,0,
Hermano P. de Moura,Hermano Perrelli de Moura,hermano moura,hermano moura,1.0,0,
Maria Gómez,María Gómez 0001,maria gomez,maria gomez,1.0,0,
Carolyn B. Seaman,Carolyn Seaman,carolyn seaman,carolyn seaman,1.0,0,
Dor D. Ma'ayan,Dor Ma'ayan,dor ma'ayan,dor ma'ayan,1.0,0,
Márcio E. Delamaro,Márcio Eduardo Delamaro,marcio delamaro,marcio delamaro,1.0,0,
Thomas Hildebrandt,Thomas T. Hildebrandt,thomas hildebrandt,thomas hildebrandt,1.0,0,
William J. Martin,William Martin 0005,william martin,william martin,1.0,0,
Carla I. M. Bezerra,Carla Ilane Moreira Bezerra,carla bezerra,carla bezerra,1.0,0,
Razieh L. Saremi,Razieh Lotfalian Saremi,razieh saremi,razieh saremi,1.0,0,
Filipe F. Correia,Filipe Figueiredo Correia,filipe correia,filipe correia,1.0,0,
Heinz Schmidt,Heinz W. Schmidt,heinz schmidt,heinz schmidt,1.0,0,
Toby C. Murray,Toby Murray,toby murray,toby murray,1.0,0,
Thomas Kuhn 0001,Thomas Kühn 0001,thomas kuhn,thomas kuhn,1.0,0,
